note_id,timestamp,asset_id,vendor_id,free_text,category,priority,event_label,incident_id
NOTE-00024,2026-06-06T18:39:12Z,PLC06,V013,Crane maintenance completed within the approved maintenance window.,INSPECTION,MEDIUM,NORMAL,
NOTE-00025,2026-06-01T19:23:16Z,PLC04,V009,Routine inspection completed; no abnormal controller behaviour observed.,MAINTENANCE,MEDIUM,NORMAL,
NOTE-00026,2026-06-03T16:35:19Z,PLC08,V003,Routine inspection completed; no abnormal controller behaviour observed.,MAINTENANCE,LOW,NORMAL,
NOTE-00027,2026-06-25T04:18:45Z,PLC09,V020,Endpoint alert reported a new remote administration tool on a vendor-associated device.,SECURITY_REVIEW,HIGH,SUSPICIOUS,
NOTE-00028,2026-06-13T04:06:20Z,PLC12,V015,Operator reported normal crane response during load testing.,INSPECTION,MEDIUM,NORMAL,
NOTE-00029,2026-06-01T18:24:27Z,PLC12,V008,Manifest destination changed during a period of anomalous vendor activity.,SUSPICIOUS_ACCESS,HIGH,SUSPICIOUS,
NOTE-00030,2026-06-12T11:11:59Z,YARD-04,V002,Crane maintenance completed within the approved maintenance window.,OPERATIONS,LOW,NORMAL,
NOTE-00031,2026-06-17T08:52:15Z,CRANE03,V013,Vendor session closed normally after firmware verification.,OPERATIONS,LOW,NORMAL,
NOTE-00032,2026-06-09T04:24:26Z,YARD-01,V004,Crane maintenance completed within the approved maintenance window.,OPERATIONS,LOW,NORMAL,
NOTE-00033,2026-06-03T18:47:11Z,PLC01,V019,Unexpected vendor remote session observed outside the approved maintenance window.,SUSPICIOUS_ACCESS,CRITICAL,SUSPICIOUS,
NOTE-00034,2026-06-23T20:21:22Z,YARD-04,V008,Crane maintenance completed within the approved maintenance window.,INSPECTION,MEDIUM,NORMAL,
NOTE-00035,2026-06-30T13:39:55Z,PLC09,V019,Repeated controller commands were observed during a vendor session; operations requested review.,SECURITY_REVIEW,CRITICAL,SUSPICIOUS,
NOTE-00036,2026-06-30T16:58:23Z,PLC05,V018,Vendor session closed normally after firmware verification.,INSPECTION,LOW,NORMAL,
NOTE-00037,2026-06-27T12:15:36Z,CRANE05,V018,Crane alarm occurred shortly after an unusual remote connection to the OT segment.,SUSPICIOUS_ACCESS,HIGH,SUSPICIOUS,
NOTE-00038,2026-06-30T20:34:30Z,CRANE02,V010,Yard controller communication was stable after scheduled maintenance.,MAINTENANCE,LOW,NORMAL,
NOTE-00039,2026-06-25T17:49:05Z,CRANE03,V013,Operator reported normal crane response during load testing.,OPERATIONS,MEDIUM,NORMAL,
NOTE-00040,2026-06-05T02:02:03Z,PLC10,V015,Yard controller communication was stable after scheduled maintenance.,MAINTENANCE,LOW,NORMAL,
NOTE-00041,2026-06-14T07:24:46Z,CRANE06,V013,Yard controller communication was stable after scheduled maintenance.,OPERATIONS,MEDIUM,NORMAL,
NOTE-00042,2026-06-24T14:27:01Z,YARD-04,V016,Routine inspection completed; no abnormal controller behaviour observed.,MAINTENANCE,MEDIUM,NORMAL,
NOTE-00043,2026-06-16T13:10:12Z,PLC09,V001,Unexpected vendor remote session observed outside the approved maintenance window.,SUSPICIOUS_ACCESS,HIGH,SUSPICIOUS,
NOTE-00044,2026-06-30T04:24:57Z,YARD-03,V019,Routine inspection completed; no abnormal controller behaviour observed.,OPERATIONS,MEDIUM,NORMAL,
NOTE-00045,2026-06-20T20:41:36Z,YARD-01,V010,Manifest destination changed during a period of anomalous vendor activity.,SECURITY_REVIEW,HIGH,SUSPICIOUS,
NOTE-00046,2026-06-25T06:42:20Z,CRANE06,V004,Crane maintenance completed within the approved maintenance window.,MAINTENANCE,LOW,NORMAL,
NOTE-00047,2026-06-02T12:54:22Z,YARD-05,V020,Endpoint alert reported a new remote administration tool on a vendor-associated device.,SUSPICIOUS_ACCESS,HIGH,SUSPICIOUS,
NOTE-00048,2026-06-23T08:21:55Z,PLC11,V007,Yard controller communication was stable after scheduled maintenance.,MAINTENANCE,MEDIUM,NORMAL,
NOTE-00049,2026-06-08T13:07:31Z,YARD-08,V012,Vendor session closed normally after firmware verification.,INSPECTION,LOW,NORMAL,
NOTE-00050,2026-06-22T01:28:33Z,CRANE08,V012,Unexpected vendor remote session observed outside the approved maintenance window.,OT_ANOMALY,CRITICAL,SUSPICIOUS,
NOTE-00051,2026-06-23T05:36:05Z,CRANE01,V017,Vendor session closed normally after firmware verification.,MAINTENANCE,LOW,NORMAL,
NOTE-00052,2026-06-25T04:29:27Z,PLC11,V005,Operator reported normal crane response during load testing.,INSPECTION,MEDIUM,NORMAL,
NOTE-00053,2026-06-17T06:32:21Z,PLC06,V007,Crane maintenance completed within the approved maintenance window.,MAINTENANCE,MEDIUM,NORMAL,
NOTE-00054,2026-06-16T19:31:45Z,PLC03,V010,Crane maintenance completed within the approved maintenance window.,OPERATIONS,LOW,NORMAL,
NOTE-00055,2026-06-07T12:27:41Z,PLC03,V014,Vendor session closed normally after firmware verification.,INSPECTION,LOW,NORMAL,
NOTE-00056,2026-06-09T12:14:02Z,YARD-04,V001,Routine inspection completed; no abnormal controller behaviour observed.,MAINTENANCE,LOW,NORMAL,
NOTE-00057,2026-06-26T22:19:24Z,PLC11,V019,Routine inspection completed; no abnormal controller behaviour observed.,MAINTENANCE,LOW,NORMAL,
NOTE-00058,2026-06-19T14:03:25Z,PLC08,V006,Yard controller communication was stable after scheduled maintenance.,INSPECTION,MEDIUM,NORMAL,
NOTE-00059,2026-06-14T15:35:10Z,PLC10,V020,Yard controller communication was stable after scheduled maintenance.,MAINTENANCE,LOW,NORMAL,
NOTE-00060,2026-06-19T22:49:21Z,YARD-06,V017,Unexpected vendor remote session observed outside the approved maintenance window.,SUSPICIOUS_ACCESS,HIGH,SUSPICIOUS,
NOTE-00061,2026-06-30T07:23:56Z,YARD-04,V020,Routine inspection completed; no abnormal controller behaviour observed.,MAINTENANCE,MEDIUM,NORMAL,
NOTE-00062,2026-06-21T11:46:22Z,YARD-04,V020,Routine inspection completed; no abnormal controller behaviour observed.,MAINTENANCE,LOW,NORMAL,
NOTE-00063,2026-06-10T00:31:20Z,CRANE05,V012,Vendor session closed normally after firmware verification.,INSPECTION,MEDIUM,NORMAL,
NOTE-00064,2026-06-29T23:31:05Z,PLC08,V007,Unexpected vendor remote session observed outside the approved maintenance window.,CARGO_ANOMALY,HIGH,SUSPICIOUS,
NOTE-00065,2026-06-20T12:29:26Z,CRANE03,V013,Yard controller communication was stable after scheduled maintenance.,MAINTENANCE,LOW,NORMAL,
NOTE-00066,2026-06-10T22:22:22Z,CRANE08,V004,Crane maintenance completed within the approved maintenance window.,INSPECTION,LOW,NORMAL,
NOTE-00067,2026-06-23T12:00:37Z,PLC02,V014,Routine inspection completed; no abnormal controller behaviour observed.,INSPECTION,LOW,NORMAL,
NOTE-00068,2026-06-01T10:47:17Z,CRANE05,V019,Repeated controller commands were observed during a vendor session; operations requested review.,SUSPICIOUS_ACCESS,HIGH,SUSPICIOUS,
NOTE-00069,2026-06-21T09:31:23Z,CRANE06,V001,Operator reported normal crane response during load testing.,OPERATIONS,MEDIUM,NORMAL,
NOTE-00070,2026-06-29T06:57:23Z,PLC06,V015,Vendor session closed normally after firmware verification.,OPERATIONS,MEDIUM,NORMAL,
NOTE-00071,2026-06-24T22:22:54Z,PLC10,V017,Yard controller communication was stable after scheduled maintenance.,INSPECTION,MEDIUM,NORMAL,
NOTE-00072,2026-06-29T09:48:26Z,CRANE07,V020,Yard controller communication was stable after scheduled maintenance.,OPERATIONS,LOW,NORMAL,
NOTE-00073,2026-06-09T05:05:17Z,YARD-08,V002,Endpoint alert reported a new remote administration tool on a vendor-associated device.,CARGO_ANOMALY,HIGH,SUSPICIOUS,
NOTE-00074,2026-06-01T13:29:02Z,PLC05,V018,Routine inspection completed; no abnormal controller behaviour observed.,MAINTENANCE,MEDIUM,NORMAL,
NOTE-00075,2026-06-10T08:18:04Z,PLC08,V020,Crane maintenance completed within the approved maintenance window.,MAINTENANCE,MEDIUM,NORMAL,
NOTE-00076,2026-06-01T04:12:53Z,YARD-02,V015,Crane alarm occurred shortly after an unusual remote connection to the OT segment.,CARGO_ANOMALY,CRITICAL,SUSPICIOUS,
NOTE-00077,2026-06-12T10:21:57Z,PLC09,V006,Yard controller communication was stable after scheduled maintenance.,OPERATIONS,MEDIUM,NORMAL,
NOTE-00078,2026-06-03T17:46:36Z,YARD-03,V014,Unexpected vendor remote session observed outside the approved maintenance window.,OT_ANOMALY,HIGH,SUSPICIOUS,
NOTE-00079,2026-06-09T12:44:11Z,YARD-01,V005,Operator reported normal crane response during load testing.,MAINTENANCE,MEDIUM,NORMAL,
NOTE-00080,2026-06-14T10:04:21Z,YARD-08,V020,Vendor session closed normally after firmware verification.,INSPECTION,LOW,NORMAL,
NOTE-00081,2026-06-26T14:37:58Z,CRANE04,V011,Operator reported normal crane response during load testing.,MAINTENANCE,LOW,NORMAL,
NOTE-00082,2026-06-16T05:57:05Z,CRANE02,V006,Crane maintenance completed within the approved maintenance window.,INSPECTION,MEDIUM,NORMAL,
NOTE-00083,2026-06-03T03:50:31Z,PLC05,V014,Endpoint alert reported a new remote administration tool on a vendor-associated device.,SECURITY_REVIEW,CRITICAL,SUSPICIOUS,
NOTE-00084,2026-06-06T15:07:43Z,PLC01,V005,Yard controller communication was stable after scheduled maintenance.,MAINTENANCE,MEDIUM,NORMAL,
NOTE-00085,2026-06-26T08:24:05Z,CRANE02,V019,Manifest destination changed during a period of anomalous vendor activity.,OT_ANOMALY,HIGH,SUSPICIOUS,
NOTE-00086,2026-06-08T21:47:01Z,YARD-05,V005,Crane maintenance completed within the approved maintenance window.,MAINTENANCE,LOW,NORMAL,
NOTE-00087,2026-06-20T13:53:46Z,YARD-06,V010,Endpoint alert reported a new remote administration tool on a vendor-associated device.,SECURITY_REVIEW,HIGH,SUSPICIOUS,
NOTE-00088,2026-06-06T19:19:32Z,PLC07,V013,Yard controller communication was stable after scheduled maintenance.,OPERATIONS,MEDIUM,NORMAL,
NOTE-00089,2026-06-13T10:55:23Z,PLC03,V012,Routine inspection completed; no abnormal controller behaviour observed.,INSPECTION,LOW,NORMAL,
NOTE-00090,2026-06-14T22:48:46Z,PLC04,V017,Crane maintenance completed within the approved maintenance window.,INSPECTION,MEDIUM,NORMAL,
NOTE-00091,2026-06-05T12:11:26Z,PLC12,V008,Manifest destination changed during a period of anomalous vendor activity.,CARGO_ANOMALY,HIGH,SUSPICIOUS,
NOTE-00092,2026-06-27T03:40:23Z,PLC04,V016,Crane alarm occurred shortly after an unusual remote connection to the OT segment.,SUSPICIOUS_ACCESS,CRITICAL,SUSPICIOUS,
NOTE-00093,2026-06-06T11:18:23Z,PLC12,V014,Unexpected vendor remote session observed outside the approved maintenance window.,OT_ANOMALY,CRITICAL,SUSPICIOUS,
NOTE-00094,2026-06-12T04:13:51Z,PLC01,V005,Operator reported normal crane response during load testing.,OPERATIONS,LOW,NORMAL,
NOTE-00095,2026-06-26T14:19:57Z,PLC10,V017,Crane maintenance completed within the approved maintenance window.,MAINTENANCE,MEDIUM,NORMAL,
NOTE-00096,2026-06-15T07:49:23Z,YARD-07,V014,Vendor session closed normally after firmware verification.,MAINTENANCE,LOW,NORMAL,
NOTE-00097,2026-06-15T10:20:35Z,PLC04,V014,Routine inspection completed; no abnormal controller behaviour observed.,OPERATIONS,LOW,NORMAL,
NOTE-00098,2026-06-24T16:38:00Z,CRANE06,V014,Unexpected vendor remote session observed outside the approved maintenance window.,SECURITY_REVIEW,HIGH,SUSPICIOUS,
NOTE-00099,2026-06-09T20:08:02Z,PLC12,V018,Crane alarm occurred shortly after an unusual remote connection to the OT segment.,OT_ANOMALY,CRITICAL,SUSPICIOUS,
NOTE-00100,2026-06-04T03:14:26Z,PLC05,V016,Crane maintenance completed within the approved maintenance window.,OPERATIONS,MEDIUM,NORMAL,
NOTE-00101,2026-06-27T12:32:02Z,PLC04,V013,Operator reported normal crane response during load testing.,OPERATIONS,MEDIUM,NORMAL,
NOTE-00102,2026-06-17T07:01:56Z,YARD-05,V017,Routine inspection completed; no abnormal controller behaviour observed.,INSPECTION,LOW,NORMAL,
NOTE-00103,2026-06-18T12:08:01Z,CRANE06,V015,Operator reported normal crane response during load testing.,MAINTENANCE,MEDIUM,NORMAL,
NOTE-00104,2026-06-25T14:39:22Z,CRANE04,V006,Unexpected vendor remote session observed outside the approved maintenance window.,SUSPICIOUS_ACCESS,HIGH,SUSPICIOUS,
NOTE-00105,2026-06-23T11:13:16Z,PLC06,V017,Routine inspection completed; no abnormal controller behaviour observed.,INSPECTION,LOW,NORMAL,
NOTE-00106,2026-06-07T05:29:38Z,YARD-05,V001,Vendor session closed normally after firmware verification.,INSPECTION,LOW,NORMAL,
NOTE-00107,2026-06-12T03:55:00Z,PLC01,V019,Unexpected vendor remote session observed outside the approved maintenance window.,SUSPICIOUS_ACCESS,CRITICAL,SUSPICIOUS,
NOTE-00108,2026-06-18T10:28:29Z,PLC09,V006,Yard controller communication was stable after scheduled maintenance.,OPERATIONS,MEDIUM,NORMAL,
NOTE-00109,2026-06-25T14:15:39Z,CRANE08,V008,Operator reported normal crane response during load testing.,INSPECTION,LOW,NORMAL,
NOTE-00110,2026-06-17T23:58:09Z,PLC06,V006,Crane maintenance completed within the approved maintenance window.,MAINTENANCE,MEDIUM,NORMAL,
NOTE-00111,2026-06-27T14:17:55Z,CRANE02,V008,Crane maintenance completed within the approved maintenance window.,OPERATIONS,MEDIUM,NORMAL,
NOTE-00112,2026-06-24T10:22:35Z,PLC07,V012,Routine inspection completed; no abnormal controller behaviour observed.,MAINTENANCE,LOW,NORMAL,
NOTE-00113,2026-06-18T23:33:56Z,YARD-06,V008,Vendor session closed normally after firmware verification.,OPERATIONS,MEDIUM,NORMAL,
NOTE-00114,2026-06-27T04:13:48Z,PLC01,V002,Routine inspection completed; no abnormal controller behaviour observed.,MAINTENANCE,MEDIUM,NORMAL,
NOTE-00115,2026-06-09T22:36:30Z,CRANE04,V010,Routine inspection completed; no abnormal controller behaviour observed.,MAINTENANCE,LOW,NORMAL,
NOTE-00116,2026-06-24T03:02:45Z,YARD-05,V006,Vendor session closed normally after firmware verification.,MAINTENANCE,LOW,NORMAL,
NOTE-00117,2026-06-14T05:16:01Z,CRANE06,V013,Crane maintenance completed within the approved maintenance window.,INSPECTION,MEDIUM,NORMAL,
NOTE-00118,2026-06-29T19:58:46Z,CRANE04,V002,Vendor session closed normally after firmware verification.,MAINTENANCE,LOW,NORMAL,
NOTE-00119,2026-06-03T00:28:13Z,YARD-08,V013,Routine inspection completed; no abnormal controller behaviour observed.,OPERATIONS,LOW,NORMAL,
NOTE-00120,2026-06-30T22:33:57Z,YARD-01,V019,Crane maintenance completed within the approved maintenance window.,INSPECTION,LOW,NORMAL,
NOTE-00121,2026-06-30T09:58:28Z,PLC07,V012,Routine inspection completed; no abnormal controller behaviour observed.,INSPECTION,LOW,NORMAL,
NOTE-00122,2026-06-08T01:24:51Z,PLC05,V019,Operator reported normal crane response during load testing.,OPERATIONS,MEDIUM,NORMAL,
NOTE-00123,2026-06-27T04:52:42Z,CRANE05,V006,Vendor session closed normally after firmware verification.,OPERATIONS,MEDIUM,NORMAL,
NOTE-00124,2026-06-23T07:38:03Z,PLC02,V004,Yard controller communication was stable after scheduled maintenance.,OPERATIONS,LOW,NORMAL,
NOTE-00125,2026-06-16T20:17:25Z,CRANE03,V017,Yard controller communication was stable after scheduled maintenance.,INSPECTION,MEDIUM,NORMAL,
NOTE-00126,2026-06-03T04:40:52Z,YARD-02,V007,Crane maintenance completed within the approved maintenance window.,MAINTENANCE,LOW,NORMAL,
NOTE-00127,2026-06-12T08:37:36Z,PLC01,V018,Manifest destination changed during a period of anomalous vendor activity.,SECURITY_REVIEW,CRITICAL,SUSPICIOUS,
NOTE-00128,2026-06-23T09:04:50Z,PLC02,V015,Operator reported normal crane response during load testing.,OPERATIONS,MEDIUM,NORMAL,
NOTE-00129,2026-06-10T01:44:22Z,YARD-01,V003,Vendor session closed normally after firmware verification.,INSPECTION,LOW,NORMAL,
NOTE-00130,2026-06-19T08:38:58Z,YARD-04,V015,Vendor session closed normally after firmware verification.,OPERATIONS,MEDIUM,NORMAL,
NOTE-00131,2026-06-30T01:50:46Z,PLC06,V012,Yard controller communication was stable after scheduled maintenance.,INSPECTION,LOW,NORMAL,
NOTE-00132,2026-06-30T05:08:19Z,CRANE06,V013,Yard controller communication was stable after scheduled maintenance.,MAINTENANCE,LOW,NORMAL,
NOTE-00133,2026-06-12T18:24:55Z,PLC03,V002,Vendor session closed normally after firmware verification.,INSPECTION,MEDIUM,NORMAL,
NOTE-00134,2026-06-29T02:15:22Z,YARD-08,V019,Endpoint alert reported a new remote administration tool on a vendor-associated device.,SECURITY_REVIEW,HIGH,SUSPICIOUS,
NOTE-00135,2026-06-09T06:11:51Z,CRANE07,V005,Unexpected vendor remote session observed outside the approved maintenance window.,SUSPICIOUS_ACCESS,HIGH,SUSPICIOUS,
NOTE-00136,2026-06-05T21:52:55Z,PLC07,V020,Routine inspection completed; no abnormal controller behaviour observed.,MAINTENANCE,MEDIUM,NORMAL,
NOTE-00137,2026-06-22T03:35:03Z,YARD-05,V006,Vendor session closed normally after firmware verification.,MAINTENANCE,MEDIUM,NORMAL,
NOTE-00138,2026-06-06T17:46:05Z,PLC07,V010,Routine inspection completed; no abnormal controller behaviour observed.,INSPECTION,LOW,NORMAL,
NOTE-00139,2026-06-13T08:21:23Z,PLC02,V020,Crane maintenance completed within the approved maintenance window.,MAINTENANCE,LOW,NORMAL,
NOTE-00140,2026-06-29T17:19:41Z,YARD-01,V020,Routine inspection completed; no abnormal controller behaviour observed.,MAINTENANCE,LOW,NORMAL,
NOTE-00141,2026-06-06T20:27:02Z,CRANE02,V002,Operator reported normal crane response during load testing.,INSPECTION,LOW,NORMAL,
NOTE-00142,2026-06-30T00:55:29Z,CRANE07,V008,Routine inspection completed; no abnormal controller behaviour observed.,INSPECTION,LOW,NORMAL,
NOTE-00143,2026-06-08T17:49:08Z,PLC11,V009,Crane maintenance completed within the approved maintenance window.,OPERATIONS,LOW,NORMAL,
NOTE-00144,2026-06-29T23:48:26Z,PLC08,V001,Manifest destination changed during a period of anomalous vendor activity.,OT_ANOMALY,CRITICAL,SUSPICIOUS,
NOTE-00145,2026-06-10T09:19:06Z,PLC07,V014,Yard controller communication was stable after scheduled maintenance.,INSPECTION,LOW,NORMAL,
NOTE-00146,2026-06-10T06:34:25Z,YARD-06,V015,Operator reported normal crane response during load testing.,INSPECTION,LOW,NORMAL,
NOTE-00147,2026-06-20T00:05:53Z,CRANE03,V009,Yard controller communication was stable after scheduled maintenance.,INSPECTION,LOW,NORMAL,
NOTE-00148,2026-06-11T11:51:22Z,PLC10,V008,Yard controller communication was stable after scheduled maintenance.,MAINTENANCE,LOW,NORMAL,
NOTE-00149,2026-06-14T10:41:56Z,YARD-08,V002,Operator reported normal crane response during load testing.,OPERATIONS,MEDIUM,NORMAL,
NOTE-00150,2026-06-15T04:44:25Z,PLC04,V012,Yard controller communication was stable after scheduled maintenance.,INSPECTION,LOW,NORMAL,
NOTE-00151,2026-06-20T16:41:43Z,CRANE02,V015,Vendor session closed normally after firmware verification.,INSPECTION,LOW,NORMAL,
NOTE-00152,2026-06-14T15:43:55Z,PLC10,V016,Crane maintenance completed within the approved maintenance window.,INSPECTION,LOW,NORMAL,
NOTE-00153,2026-06-13T07:03:18Z,CRANE01,V016,Vendor session closed normally after firmware verification.,MAINTENANCE,LOW,NORMAL,
NOTE-00154,2026-06-13T03:31:00Z,YARD-06,V003,Routine inspection completed; no abnormal controller behaviour observed.,INSPECTION,MEDIUM,NORMAL,
NOTE-00155,2026-06-05T12:29:21Z,PLC09,V003,Crane maintenance completed within the approved maintenance window.,INSPECTION,MEDIUM,NORMAL,
NOTE-00156,2026-06-18T22:58:57Z,CRANE02,V003,Operator reported normal crane response during load testing.,OPERATIONS,MEDIUM,NORMAL,
NOTE-00157,2026-06-18T02:30:54Z,YARD-08,V016,Vendor session closed normally after firmware verification.,OPERATIONS,MEDIUM,NORMAL,
NOTE-00158,2026-06-12T10:42:50Z,PLC10,V010,Vendor session closed normally after firmware verification.,MAINTENANCE,MEDIUM,NORMAL,
NOTE-00159,2026-06-08T08:49:26Z,CRANE08,V015,Crane maintenance completed within the approved maintenance window.,MAINTENANCE,MEDIUM,NORMAL,
NOTE-00160,2026-06-16T04:09:11Z,PLC01,V006,Yard controller communication was stable after scheduled maintenance.,OPERATIONS,LOW,NORMAL,
NOTE-00161,2026-06-10T22:10:03Z,YARD-08,V009,Vendor session closed normally after firmware verification.,OPERATIONS,MEDIUM,NORMAL,
NOTE-00162,2026-06-30T18:01:53Z,YARD-06,V005,Crane maintenance completed within the approved maintenance window.,INSPECTION,MEDIUM,NORMAL,
NOTE-00163,2026-06-29T07:56:50Z,CRANE03,V010,Crane alarm occurred shortly after an unusual remote connection to the OT segment.,SECURITY_REVIEW,CRITICAL,SUSPICIOUS,
NOTE-00164,2026-06-28T09:05:59Z,PLC12,V018,Yard controller communication was stable after scheduled maintenance.,OPERATIONS,MEDIUM,NORMAL,
NOTE-00165,2026-06-03T04:20:12Z,CRANE08,V018,Operator reported normal crane response during load testing.,INSPECTION,LOW,NORMAL,
NOTE-00166,2026-06-17T13:23:20Z,CRANE08,V010,Crane maintenance completed within the approved maintenance window.,MAINTENANCE,LOW,NORMAL,
NOTE-00167,2026-06-12T07:31:59Z,PLC11,V002,Routine inspection completed; no abnormal controller behaviour observed.,INSPECTION,LOW,NORMAL,
NOTE-00168,2026-06-24T23:21:55Z,YARD-03,V009,Routine inspection completed; no abnormal controller behaviour observed.,OPERATIONS,LOW,NORMAL,
NOTE-00169,2026-06-02T01:06:58Z,YARD-04,V009,Vendor session closed normally after firmware verification.,OPERATIONS,LOW,NORMAL,
NOTE-00170,2026-06-29T07:29:39Z,YARD-05,V007,Vendor session closed normally after firmware verification.,INSPECTION,LOW,NORMAL,
NOTE-00171,2026-06-18T06:42:53Z,CRANE05,V002,Routine inspection completed; no abnormal controller behaviour observed.,MAINTENANCE,MEDIUM,NORMAL,
NOTE-00172,2026-06-22T02:41:51Z,YARD-03,V015,Manifest destination changed during a period of anomalous vendor activity.,SUSPICIOUS_ACCESS,HIGH,SUSPICIOUS,
NOTE-00173,2026-06-29T07:50:44Z,YARD-07,V003,Vendor session closed normally after firmware verification.,MAINTENANCE,LOW,NORMAL,
NOTE-00174,2026-06-21T18:17:00Z,CRANE01,V003,Unexpected vendor remote session observed outside the approved maintenance window.,SUSPICIOUS_ACCESS,HIGH,SUSPICIOUS,
NOTE-00175,2026-06-26T20:17:56Z,PLC06,V009,Unexpected vendor remote session observed outside the approved maintenance window.,CARGO_ANOMALY,HIGH,SUSPICIOUS,
NOTE-00176,2026-06-16T23:57:14Z,YARD-03,V015,Crane maintenance completed within the approved maintenance window.,MAINTENANCE,MEDIUM,NORMAL,
NOTE-00177,2026-06-11T06:06:12Z,CRANE06,V020,Routine inspection completed; no abnormal controller behaviour observed.,OPERATIONS,MEDIUM,NORMAL,
NOTE-00178,2026-06-22T10:32:42Z,PLC12,V004,Operator reported normal crane response during load testing.,MAINTENANCE,LOW,NORMAL,
NOTE-00179,2026-06-22T09:22:04Z,CRANE06,V003,Vendor session closed normally after firmware verification.,OPERATIONS,LOW,NORMAL,
NOTE-00180,2026-06-14T22:23:09Z,CRANE07,V006,Repeated controller commands were observed during a vendor session; operations requested review.,SECURITY_REVIEW,CRITICAL,SUSPICIOUS,
NOTE-00181,2026-06-13T13:44:47Z,CRANE03,V007,Operator reported normal crane response during load testing.,OPERATIONS,LOW,NORMAL,
NOTE-00182,2026-06-12T13:23:50Z,CRANE01,V008,Crane maintenance completed within the approved maintenance window.,OPERATIONS,MEDIUM,NORMAL,
NOTE-00183,2026-06-20T20:38:18Z,YARD-05,V001,Yard controller communication was stable after scheduled maintenance.,INSPECTION,MEDIUM,NORMAL,
NOTE-00184,2026-06-21T09:17:32Z,YARD-03,V006,Manifest destination changed during a period of anomalous vendor activity.,SECURITY_REVIEW,CRITICAL,SUSPICIOUS,
